sortId,link,status,comment_count,actual_count,备注
106,https://www.indiegogo.com//projects/5-years-of-we-act-radio-join-the-opposition-party#/,pending,0,0,
107,https://www.indiegogo.com//projects/50-50-50-challenge#/,pending,0,0,
108,https://www.indiegogo.com//projects/500-orphans-need-school-supplies-holiday-cheers#/,pending,0,0,
109,https://www.indiegogo.com//projects/500hr-women-s-yoga-leadership-training#/,pending,0,0,
110,https://www.indiegogo.com//projects/5d-architectural-vaccine-making-cities-invincible#/,pending,0,0,
111,https://www.indiegogo.com//projects/5n1-herbal-relief-from-chikingunya#/,pending,0,0,
112,https://www.indiegogo.com//projects/7-000-voices#/,pending,0,0,
113,https://www.indiegogo.com//projects/7-artists-robbed-help-save-their-livelihood#/,pending,0,0,
114,https://www.indiegogo.com//projects/7-year-old-child-to-have-a-life-changing-operation#/,pending,0,0,
115,https://www.indiegogo.com//projects/70mai-a800-dual-vision-4k-dash-cam-for-24h-guard#/,pending,0,0,
116,https://www.indiegogo.com//projects/72-108-days-darknessretreat--2#/,pending,0,0,
117,https://www.indiegogo.com//projects/721k-cares#/,pending,0,0,
118,https://www.indiegogo.com//projects/8-yr-old-boy-raises-funds-for-baseball-competition#/,pending,0,0,
119,https://www.indiegogo.com//projects/89-grams-super-light-umbrella#/,pending,0,0,
120,https://www.indiegogo.com//projects/8th-grade-student-field-trip-to-washington-dc#/,pending,0,0,
121,https://www.indiegogo.com//projects/96w-8-port-usb-charger-2-4a-on-each-port#/,pending,0,0,
122,https://www.indiegogo.com//projects/9plus-world-s-9-in-1-cable-meets-all-your-need#/,pending,0,0,
123,https://www.indiegogo.com//projects/a--673#/,pending,0,0,
124,https://www.indiegogo.com//projects/a-600km-winter-cycling-expedition-in-himalaya-2015#/,pending,0,0,
125,https://www.indiegogo.com//projects/a-better-life-starts-with-a-better-education-onward-neighborhood-house#/,pending,0,0,
126,https://www.indiegogo.com//projects/a-better-tomorrow--3#/,pending,0,0,
127,https://www.indiegogo.com//projects/a-better-way-to-run-with-your-phone#/,pending,0,0,
128,https://www.indiegogo.com//projects/a-breath-of-fresh-air-for-the-maasai-women#/,pending,0,0,
129,https://www.indiegogo.com//projects/a-bucket-list-app-with-discounted-travel-packages#/,pending,0,0,
130,https://www.indiegogo.com//projects/a-buckmister-with-no-bucks-raising-for-graduate-school#/,pending,0,0,
131,https://www.indiegogo.com//projects/a-call-to-leadership#/,pending,0,0,
132,https://www.indiegogo.com//projects/a-campaign-to-support-10-blind-kids-to-continue-education--2#/,pending,0,0,
133,https://www.indiegogo.com//projects/a-children-s-garden-at-salt-spring-elementary#/,pending,0,0,
134,https://www.indiegogo.com//projects/a-christmas-baby#/,pending,0,0,
135,https://www.indiegogo.com//projects/a-cleaner-you-can-lead-to-a-cleaner-planet#/,pending,0,0,
136,https://www.indiegogo.com//projects/a-contemporary-cottage-the-riverbird-s-nest#/,pending,0,0,
137,https://www.indiegogo.com//projects/a-conversation-with-america#/,pending,0,0,
138,https://www.indiegogo.com//projects/a-creatvie-mouse#/,pending,0,0,
139,https://www.indiegogo.com//projects/a-cure-for-carissa#/,pending,0,0,
140,https://www.indiegogo.com//projects/a-decent-roof-above-our-heads#/,pending,0,0,
141,https://www.indiegogo.com//projects/a-device-to-save-lives-protect-the-children-teachers-and-staff-at-our-schools#/,pending,0,0,
142,https://www.indiegogo.com//projects/a-dolphin-dream-come-true#/,pending,0,0,
143,https://www.indiegogo.com//projects/a-dreamer-s-journey-home-help-alfonso-perez-today#/,pending,0,0,
144,https://www.indiegogo.com//projects/a-european-discovery--407#/,pending,0,0,
145,https://www.indiegogo.com//projects/a-f-a-wakepark-1er-teleski-nautique-d-alsace#/,pending,0,0,
146,https://www.indiegogo.com//projects/a-foster-child-s-smile-at-christmas-project#/,pending,0,0,
147,https://www.indiegogo.com//projects/a-free-presentation-software-for-academic-purposes#/,pending,0,0,
148,https://www.indiegogo.com//projects/a-friend-in-need--4#/,pending,0,0,
149,https://www.indiegogo.com//projects/a-gift-of-secondary-education#/,pending,0,0,
150,https://www.indiegogo.com//projects/a-grassroots-benefit-concert#/,pending,0,0,
151,https://www.indiegogo.com//projects/a-green-mp-for-east-dunbartonshire#/,pending,0,0,
152,https://www.indiegogo.com//projects/a-guide-to-transforming-your-body#/,pending,0,0,
153,https://www.indiegogo.com//projects/a-hand-to-haiti#/,pending,0,0,
154,https://www.indiegogo.com//projects/a-healing-journey#/,pending,0,0,
155,https://www.indiegogo.com//projects/a-heart-worth-saving#/,pending,0,0,
156,https://www.indiegogo.com//projects/a-home-for-rugby-children-in-romania#/,pending,0,0,
157,https://www.indiegogo.com//projects/a-home-for-splendacrest--3#/,pending,0,0,
158,https://www.indiegogo.com//projects/a-jackson-to-heal-your-back-pain#/,pending,0,0,
159,https://www.indiegogo.com//projects/a-journey-into-japanese-wine#/,pending,0,0,
160,https://www.indiegogo.com//projects/a-journey-into-plant-spirit-medicine#/,pending,0,0,
161,https://www.indiegogo.com//projects/a-kidney-for-allan#/,pending,0,0,
162,https://www.indiegogo.com//projects/a-last-resort#/,pending,0,0,
163,https://www.indiegogo.com//projects/a-life-without-scoliosis#/,pending,0,0,
164,https://www.indiegogo.com//projects/a-little-fashion-boutique-in-nha-trang-vietnam#/,pending,0,0,
165,https://www.indiegogo.com//projects/a-marvelous-idea-in-head#/,pending,0,0,
166,https://www.indiegogo.com//projects/a-medical-relief-trip-to-haiti#/,pending,0,0,
167,https://www.indiegogo.com//projects/a-mobile-app-that-funds-community-projects#/,pending,0,0,
168,https://www.indiegogo.com//projects/a-mom-needs-transportation-to-work#/,pending,0,0,
169,https://www.indiegogo.com//projects/a-mural-and-garden-project-empowering-and-educating-communities#/,pending,0,0,
170,https://www.indiegogo.com//projects/a-new-bus-for-the-neighborhood-center#/,pending,0,0,
171,https://www.indiegogo.com//projects/a-new-face-for-mommy#/,pending,0,0,
172,https://www.indiegogo.com//projects/a-new-phone-for-renz-byrne#/,pending,0,0,
173,https://www.indiegogo.com//projects/a-new-tomorrow-for-her#/,pending,0,0,
174,https://www.indiegogo.com//projects/a-not-for-profit-wellness-retreat-centre#/,pending,0,0,
