sortId,link,status,comment_count,actual_count,备注
121,https://www.indiegogo.com//projects/murel-venom#/,pending,0,0,
122,https://www.indiegogo.com//projects/fantany-unbound-stylish-stable-yet-affordable#/,pending,0,0,
123,https://www.indiegogo.com//projects/klp#/,pending,0,0,
124,https://www.indiegogo.com//projects/bluetooth-throat-microphone#/,pending,0,0,
125,https://www.indiegogo.com//projects/canvas-the-ultimate-hifi-system-for-tv-s#/,pending,0,0,
126,https://www.indiegogo.com//projects/sm4l#/,pending,0,0,
127,https://www.indiegogo.com//projects/agora-studio-1-headphones#/,pending,0,0,
128,https://www.indiegogo.com//projects/tranquil#/,pending,0,0,
129,https://www.indiegogo.com//projects/doonne-m1-a-fantastic-bluetooth-earphones#/,pending,0,0,
130,https://www.indiegogo.com//projects/vizee-interactive-audio#/,pending,0,0,
131,https://www.indiegogo.com//projects/original-speaker-bamboo-hifi-speaker-diy#/,pending,0,0,
132,https://www.indiegogo.com//projects/altaled-your-musical-entertainment-and-powerbank#/,pending,0,0,
133,https://www.indiegogo.com//projects/henlein-the-first-graphene-bluetooth-earbuds#/,pending,0,0,
134,https://www.indiegogo.com//projects/zvuk9-new-way-to-create-music#/,pending,0,0,
135,https://www.indiegogo.com//projects/studio--41#/,pending,0,0,
136,https://www.indiegogo.com//projects/amazon-alexa-enabled-wine-tastings#/,pending,0,0,
137,https://www.indiegogo.com//projects/gala-ultra-high-performance-stereo-dac#/,pending,0,0,
138,https://www.indiegogo.com//projects/elis-jordan-13s#/,pending,0,0,
139,https://www.indiegogo.com//projects/gt-r-planar-magnetic-headphones#/,pending,0,0,
140,https://www.indiegogo.com//projects/short-squeeze-podcast#/,pending,0,0,
141,https://www.indiegogo.com//projects/monsterkut#/,pending,0,0,
142,https://www.indiegogo.com//projects/euromod-an-eurorack-digital-toolbox#/,pending,0,0,
143,https://www.indiegogo.com//projects/teufel-boomster-ng-bluetooth-speaker#/,pending,0,0,
144,https://www.indiegogo.com//projects/lyra-waterproof-earbuds#/,pending,0,0,
145,https://www.indiegogo.com//projects/sound-dom--2#/,pending,0,0,
146,https://www.indiegogo.com//projects/smartmic--3#/,pending,0,0,
147,https://www.indiegogo.com//projects/armadillo-super-foldable-headphones#/,pending,0,0,
148,https://www.indiegogo.com//projects/jackson-turn-yesterday-s-audio-into-wireless#/,pending,0,0,
149,https://www.indiegogo.com//projects/jacksavior-strongest-and-smallest-audio-jack--2#/,pending,0,0,
150,https://www.indiegogo.com//projects/graphical-music-visualizer#/,pending,0,0,
151,https://www.indiegogo.com//projects/the-method-to-the-mix#/,pending,0,0,
152,https://www.indiegogo.com//projects/toneroll-music-transcription-made-easy#/,pending,0,0,
153,https://www.indiegogo.com//projects/voice-of-the-team-radio#/,pending,0,0,
154,https://www.indiegogo.com//projects/the-world-s-first-magneto-static-earphone-hpsd-e70#/,pending,0,0,
155,https://www.indiegogo.com//projects/crpods-an-airpod-holder-and-charger#/,pending,0,0,
156,https://www.indiegogo.com//projects/earbuds--5#/,pending,0,0,
157,https://www.indiegogo.com//projects/wild-music-sin-condiciones-ni-complicaciones#/,pending,0,0,
158,https://www.indiegogo.com//projects/musflow-ai-driven-musician-matching-platform#/,pending,0,0,
159,https://www.indiegogo.com//projects/glass-car-tweeters#/,pending,0,0,
160,https://www.indiegogo.com//projects/elfmic-active-noise-cancelling-affordable-headset#/,pending,0,0,
161,https://www.indiegogo.com//projects/music-earbuds#/,pending,0,0,
162,https://www.indiegogo.com//projects/myshinzo-turn-any-speaker-into-a-i-for-your-home#/,pending,0,0,
163,https://www.indiegogo.com//projects/sound-engineering-the-se-1#/,pending,0,0,
164,https://www.indiegogo.com//projects/kafix-investment#/,pending,0,0,
165,https://www.indiegogo.com//projects/dusmeyen-kulaklik-kampanyasi#/,pending,0,0,
166,https://www.indiegogo.com//projects/wiggle-kit-a-new-instrument-for-singers--3#/,pending,0,0,
167,https://www.indiegogo.com//projects/origin-true-hi-res-earphone-dac-with-pure-silver#/,pending,0,0,
168,https://www.indiegogo.com//projects/motion-sonic#/,pending,0,0,
169,https://www.indiegogo.com//projects/time-to-xcyte-the-world#/,pending,0,0,
170,https://www.indiegogo.com//projects/podcaster-pro-by-adam-curry#/,pending,0,0,
171,https://www.indiegogo.com//projects/headtooth-group-voice-chat-for-motorcycle-riders#/,pending,0,0,
172,https://www.indiegogo.com//projects/erot-bot-is-here#/,pending,0,0,
173,https://www.indiegogo.com//projects/twins-bluetooth-speaker-set-portable-stereo-sound#/,pending,0,0,
174,https://www.indiegogo.com//projects/take-a-byte-of-smyte#/,pending,0,0,
175,https://www.indiegogo.com//projects/car-playlist-software#/,pending,0,0,
176,https://www.indiegogo.com//projects/midiflorian-the-ultra-versatile-midi-controller#/,pending,0,0,
177,https://www.indiegogo.com//projects/1930-s-string-samples#/,pending,0,0,
178,https://www.indiegogo.com//projects/iboxm-bluetooth-wireless-hi-fi-audio-receiver#/,pending,0,0,
179,https://www.indiegogo.com//projects/bluetooth5-0-dual-dynamic-drivers-wireless-earbuds#/,pending,0,0,
180,https://www.indiegogo.com//projects/aivia-world-s-smartest-speaker#/,pending,0,0,
181,https://www.indiegogo.com//projects/cancelled--185#/,pending,0,0,
182,https://www.indiegogo.com//projects/soundfree-allinone-wireless-music-sender-receiver#/,pending,0,0,
183,https://www.indiegogo.com//projects/dshlkjfjkshldkjwhfkhwlkdhwdkjwh-dhjkhdlk#/,pending,0,0,
184,https://www.indiegogo.com//projects/lenco-md-modular-3d-printed-record-player#/,pending,0,0,
